Date,Open,High,Low,Close,Adj_Close,Volume
4/25/2025,"2,630.00","2,650.00","2,570.00","2,600.00","2,600.00","93,439,600"
4/24/2025,"2,630.00","2,650.00","2,600.00","2,630.00","2,630.00","75,733,400"
4/23/2025,"2,580.00","2,640.00","2,570.00","2,630.00","2,630.00","128,704,200"
4/22/2025,"2,570.00","2,570.00","2,520.00","2,550.00","2,550.00","44,958,000"
4/21/2025,"2,600.00","2,610.00","2,510.00","2,570.00","2,570.00","84,209,300"
4/17/2025,"2,500.00","2,660.00","2,490.00","2,550.00","2,550.00","195,577,900"
4/16/2025,"2,490.00","2,510.00","2,450.00","2,480.00","2,480.00","121,853,000"
4/15/2025,"2,460.00","2,470.00","2,420.00","2,450.00","2,450.00","99,064,500"
4/14/2025,"2,320.00","2,430.00","2,310.00","2,430.00","2,430.00","116,968,600"
4/11/2025,"2,320.00","2,350.00","2,300.00","2,330.00","2,330.00","60,214,100"
4/10/2025,"2,450.00","2,470.00","2,320.00","2,350.00","2,350.00","139,327,100"
4/9/2025,"2,440.00","2,440.00","2,300.00","2,320.00","2,320.00","120,363,300"
4/8/2025,"2,050.00","2,300.00","2,050.00","2,290.00","2,290.00","409,973,200"
3/27/2025,"2,430.00","2,430.00","2,390.00","2,410.00","2,410.00","120,411,200"
3/26/2025,"2,360.00","2,460.00","2,350.00","2,440.00","2,440.00","215,856,700"
3/25/2025,"2,340.00","2,360.00","2,300.00","2,340.00","2,340.00","107,964,200"
3/24/2025,"2,320.00","2,360.00","2,240.00","2,330.00","2,330.00","105,865,000"
3/21/2025,"2,370.00","2,380.00","2,300.00","2,310.00","2,310.00","204,534,000"
3/20/2025,"2,440.00","2,440.00","2,350.00","2,390.00","2,390.00","94,823,100"
3/19/2025,"2,420.00","2,440.00","2,380.00","2,430.00","2,430.00","96,825,800"
3/18/2025,"2,450.00","2,470.00","2,300.00","2,420.00","2,420.00","139,758,600"
3/17/2025,"2,420.00","2,450.00","2,410.00","2,420.00","2,420.00","58,129,400"
3/14/2025,"2,450.00","2,480.00","2,410.00","2,420.00","2,420.00","107,627,100"
3/13/2025,"2,470.00","2,490.00","2,420.00","2,430.00","2,430.00","66,706,500"
3/12/2025,"2,410.00","2,490.00","2,400.00","2,450.00","2,450.00","98,938,700"
3/11/2025,"2,380.00","2,390.00","2,350.00","2,370.00","2,370.00","102,235,600"
3/10/2025,"2,430.00","2,430.00","2,370.00","2,390.00","2,390.00","88,949,400"
3/7/2025,"2,430.00","2,470.00","2,350.00","2,410.00","2,410.00","182,407,000"
3/6/2025,"2,490.00","2,510.00","2,400.00","2,400.00","2,400.00","131,136,100"
3/5/2025,"2,420.00","2,470.00","2,410.00","2,450.00","2,450.00","167,407,400"
3/4/2025,"2,400.00","2,440.00","2,350.00","2,380.00","2,380.00","131,347,800"
3/3/2025,"2,400.00","2,420.00","2,370.00","2,400.00","2,400.00","178,833,400"
2/28/2025,"2,470.00","2,470.00","2,350.00","2,350.00","2,350.00","249,795,300"
2/27/2025,"2,520.00","2,560.00","2,430.00","2,490.00","2,490.00","88,741,400"
2/26/2025,"2,500.00","2,520.00","2,460.00","2,520.00","2,520.00","65,752,000"
2/25/2025,"2,560.00","2,580.00","2,460.00","2,460.00","2,460.00","111,687,700"
2/24/2025,"2,630.00","2,640.00","2,570.00","2,600.00","2,600.00","42,327,600"
2/21/2025,"2,670.00","2,680.00","2,630.00","2,650.00","2,650.00","75,110,600"
2/20/2025,"2,650.00","2,680.00","2,620.00","2,670.00","2,670.00","90,411,700"
2/19/2025,"2,680.00","2,690.00","2,600.00","2,670.00","2,670.00","119,388,200"
2/18/2025,"2,660.00","2,710.00","2,630.00","2,680.00","2,680.00","115,881,200"
2/17/2025,"2,570.00","2,650.00","2,530.00","2,650.00","2,650.00","113,998,200"
2/14/2025,"2,460.00","2,530.00","2,440.00","2,530.00","2,530.00","156,474,300"
2/13/2025,"2,370.00","2,420.00","2,310.00","2,420.00","2,420.00","219,425,500"
2/12/2025,"2,360.00","2,480.00","2,350.00","2,480.00","2,480.00","173,407,600"
