Prov,Tahun,AHH_Lk,AHH_pr,Melek_hrf,Imunisasi,Perokok_aktif
ACEH,2015,67.59,71.49,97.63,60.73,29.82
ACEH,2016,67.61,71.52,97.74,59.09,28.16
ACEH,2017,67.62,71.55,97.94,53.22,28.85
ACEH,2018,67.73,71.67,98.03,46.905,31.76
ACEH,2019,67.98,71.85,98.21,40.59,28.7
ACEH,2020,68.04,71.91,98.25,39.21,28.06
ACEH,2021,68.07,71.94,98.24,38.11,28.3
ACEH,2022,68.26,72.16,98.25,38.19,27.58
ACEH,2023,68.42,72.35,98.34,49.72,28.66
ACEH,2024,68.52,72.45,98.34,41.44,28.61
SUMATERA UTARA,2015,66.41,70.26,98.68,61.93,29.15
SUMATERA UTARA,2016,66.48,70.29,98.88,65.36,27.88
SUMATERA UTARA,2017,66.49,70.29,98.89,65.39,28.47
SUMATERA UTARA,2018,66.73,70.52,99.07,63.02,31.1
SUMATERA UTARA,2019,67.07,70.92,99.15,60.65,27.46
SUMATERA UTARA,2020,67.22,71.08,99.16,62.72,27.28
SUMATERA UTARA,2021,67.35,71.21,99.19,62.32,27.24
SUMATERA UTARA,2022,67.66,71.6,99.11,65.07,25.32
SUMATERA UTARA,2023,68.06,72,99.17,66.94,26.28
SUMATERA UTARA,2024,68.36,72.3,99.09,66.26,26.69
SUMATERA BARAT,2015,66.75,70.65,98.56,64.41,32.41
SUMATERA BARAT,2016,66.9,70.65,98.81,65.85,30.59
SUMATERA BARAT,2017,66.94,70.7,98.85,61.59,31.71
SUMATERA BARAT,2018,67.16,70.93,99.07,60.215,35.32
SUMATERA BARAT,2019,67.42,71.29,99.17,58.84,30.75
SUMATERA BARAT,2020,67.59,71.45,99.17,56.4,30.08
SUMATERA BARAT,2021,67.7,71.57,99.26,56.03,30.5
SUMATERA BARAT,2022,67.99,71.89,99.29,56.48,30.27
SUMATERA BARAT,2023,68.27,72.21,99.31,55.64,30.42
SUMATERA BARAT,2024,68.41,72.35,99.37,61.21,31.45
RIAU,2015,69.05,72.9,98.87,66.35,31.21
RIAU,2016,69.1,72.9,99.07,67.24,29.61
RIAU,2017,69.12,72.92,99.17,65.04,29.34
RIAU,2018,69.32,73.12,99.2,60.745,32.72
RIAU,2019,69.62,73.43,99.21,56.45,29.04
RIAU,2020,69.75,73.55,99.23,60.96,28.06
RIAU,2021,69.82,73.62,99.2,63.38,28.34
RIAU,2022,70.03,73.9,99.18,62.31,26.86
RIAU,2023,70.28,74.29,99.18,65.03,27.76
RIAU,2024,70.56,74.58,99.2,68.57,28.02
JAMBI,2015,68.67,72.54,97.84,69.64,30.82
JAMBI,2016,68.69,72.62,98.01,70.76,29.18
JAMBI,2017,68.75,72.67,98.09,67.08,29.18
JAMBI,2018,68.89,72.8,98.15,67,28.21
JAMBI,2019,69.11,72.97,98.2,66.92,28.54
JAMBI,2020,69.27,73.07,98.19,63.47,28.01
JAMBI,2021,69.33,73.19,98.08,65.63,27.47
JAMBI,2022,69.57,73.49,98.1,63.65,28.62
JAMBI,2023,69.83,73.81,98.16,57.62,28.67
JAMBI,2024,70.09,74.09,98.02,63.59,29.76
SUMATERA SELATAN,2015,67.25,71.13,98.22,74.58,33.13
SUMATERA SELATAN,2016,67.28,71.16,98.46,74.95,31.57
SUMATERA SELATAN,2017,67.29,71.17,98.54,72.51,32.46
SUMATERA SELATAN,2018,67.52,71.4,98.66,69.48,33.07
SUMATERA SELATAN,2019,67.78,71.63,98.76,66.45,30.91
SUMATERA SELATAN,2020,68,71.86,98.75,69,30.56
SUMATERA SELATAN,2021,68.11,71.95,98.78,70.52,30.65
SUMATERA SELATAN,2022,68.38,72.29,98.65,74,30.49
SUMATERA SELATAN,2023,68.74,72.68,98.73,67.7,30.91
SUMATERA SELATAN,2024,69,72.95,98.68,75.71,31.01
BENGKULU,2015,66.6,70.48,97.63,76.25,33.68
BENGKULU,2016,66.62,70.49,97.75,74.96,33.15
BENGKULU,2017,66.64,70.51,97.9,72.94,33.41
BENGKULU,2018,66.89,70.76,97.91,72.235,35.53
BENGKULU,2019,67.28,71.13,98.01,71.53,33.14
BENGKULU,2020,67.47,71.27,98.01,75.38,32.31
BENGKULU,2021,67.54,71.4,97.88,76.94,33.17
