Date,Open,High,Low,Close,Adj_Close,Volume
"Apr 29, 2025",172,178,169,169,169,506800
"Apr 28, 2025",176,197,171,171,171,5082000
"Apr 25, 2025",163,186,162,170,170,2358400
"Apr 24, 2025",160,164,159,162,162,438600
"Apr 23, 2025",163,163,159,161,161,405300
"Apr 22, 2025",162,165,161,164,164,350000
"Apr 21, 2025",165,169,159,165,165,1163800
"Apr 17, 2025",159,165,158,158,158,1719500
"Apr 16, 2025",160,160,156,158,158,735400
"Apr 15, 2025",164,164,154,158,158,1673100
"Apr 14, 2025",187,198,159,159,159,13115800
"Apr 11, 2025",194,198,180,186,186,292200
"Apr 10, 2025",189,210,189,195,195,39600
"Apr 9, 2025",182,189,178,189,189,86100
"Apr 8, 2025",193,193,171,190,190,62100
"Mar 27, 2025",191,198,191,193,193,39600
"Mar 26, 2025",191,198,188,191,191,76100
"Mar 25, 2025",199,199,186,191,191,122800
"Mar 24, 2025",189,197,170,189,189,254100
"Mar 21, 2025",210,214,185,188,188,1717800
"Mar 20, 2025",216,216,208,212,212,392100
"Mar 19, 2025",232,260,202,210,210,1693400
"Mar 18, 2025",238,242,202,230,230,160000
"Mar 17, 2025",236,250,232,238,238,8600
"Mar 14, 2025",236,238,224,236,236,10300
"Mar 13, 2025",236,240,234,236,236,9500
"Mar 12, 2025",248,248,212,234,234,92300
"Mar 11, 2025",296,296,240,248,248,598500
"Mar 10, 2025",252,296,244,296,296,72400
"Mar 7, 2025",248,248,242,246,246,32800
"Mar 6, 2025",238,248,234,244,244,46100
"Mar 5, 2025",236,250,236,238,238,6700
"Mar 4, 2025",244,250,236,236,236,4100
"Mar 3, 2025",238,250,236,244,244,74500
"Feb 28, 2025",246,250,228,236,236,68000
"Feb 27, 2025",244,246,240,242,242,10900
"Feb 26, 2025",248,258,234,244,244,24500
"Feb 25, 2025",250,258,248,248,248,6300
"Feb 24, 2025",252,260,250,250,250,81300
"Feb 21, 2025",256,260,254,256,256,3300
"Feb 20, 2025",252,264,252,260,260,21200
"Feb 19, 2025",250,256,250,252,252,23000
"Feb 18, 2025",250,266,242,250,250,77600
"Feb 17, 2025",258,260,238,250,250,35800
"Feb 14, 2025",258,264,254,258,258,13200
"Feb 13, 2025",262,274,252,258,258,93100
"Feb 12, 2025",244,278,244,248,248,111600
"Feb 11, 2025",270,274,236,244,244,258500
"Feb 10, 2025",268,280,260,278,278,21400
"Feb 7, 2025",270,272,268,268,268,29600
"Feb 6, 2025",280,284,270,276,276,48100
"Feb 5, 2025",276,284,276,280,280,10200
"Feb 4, 2025",272,300,270,276,276,366200
"Feb 3, 2025",280,280,272,272,272,1600
"Jan 31, 2025",278,300,270,280,280,732000
"Jan 30, 2025",276,280,268,278,278,59600
"Jan 24, 2025",290,290,270,276,276,432900
"Jan 23, 2025",290,290,280,290,290,67900
"Jan 22, 2025",296,296,280,286,286,377000
"Jan 21, 2025",290,302,280,296,296,101100
"Jan 20, 2025",290,290,278,290,290,80300
"Jan 17, 2025",298,298,278,290,290,160800
"Jan 16, 2025",290,318,290,292,292,462000
"Jan 15, 2025",286,298,286,290,290,116100
"Jan 14, 2025",288,294,280,286,286,92300
"Jan 13, 2025",290,300,290,294,294,59100
"Jan 10, 2025",282,294,268,290,290,44000
"Jan 9, 2025",290,298,270,278,278,240900
"Jan 8, 2025",298,298,284,290,290,338900
"Jan 7, 2025",330,332,286,292,292,2661400
"Jan 6, 2025",296,362,296,330,330,2130900
"Jan 3, 2025",284,300,284,292,292,2600
"Jan 2, 2025",292,294,292,292,292,30600
"Dec 30, 2024",298,298,286,292,292,66200
"Dec 27, 2024",306,306,290,296,296,27500
"Dec 24, 2024",302,302,288,300,300,30100
"Dec 23, 2024",304,306,298,306,306,33800
"Dec 20, 2024",300,316,300,310,310,20600
"Dec 19, 2024",310,316,300,300,300,19100
"Dec 18, 2024",308,318,304,316,316,4100
"Dec 17, 2024",318,324,310,310,310,40300
"Dec 16, 2024",320,320,288,318,318,17300
"Dec 13, 2024",314,322,308,320,320,23600
"Dec 12, 2024",320,320,304,314,314,17600
"Dec 11, 2024",318,324,316,320,320,26800
"Dec 10, 2024",320,330,298,316,316,32500
"Dec 9, 2024",316,330,300,330,330,51600
"Dec 6, 2024",304,336,304,316,316,37100
"Dec 5, 2024",306,328,304,308,308,87100
"Dec 4, 2024",310,310,306,308,308,44100
"Dec 3, 2024",312,312,310,310,310,21700
"Dec 2, 2024",320,320,312,312,312,14000
"Nov 29, 2024",320,320,316,320,320,19800
"Nov 28, 2024",324,324,318,320,320,35200
"Nov 26, 2024",322,324,322,324,324,28700
"Nov 25, 2024",328,328,322,322,322,19200
"Nov 22, 2024",322,340,320,324,324,15100
"Nov 21, 2024",324,324,320,320,320,2700
"Nov 20, 2024",326,326,320,324,324,6400
"Nov 19, 2024",320,340,314,326,326,116400
"Nov 18, 2024",350,350,326,326,326,97000
"Nov 15, 2024",330,340,316,330,330,198900
"Nov 14, 2024",310,348,310,330,330,277700
"Nov 13, 2024",316,350,314,316,316,369500
"Nov 12, 2024",318,318,284,312,312,142200
